,tempo,loudness,danceability,energy,popularity
0,109.284,-18.366,0.4970000000000001,0.263,15
1,97.732,-16.417,0.6679999999999999,0.453,13
2,166.733,-20.325,0.275,0.11,13
3,58.813,-15.557,0.337,0.13,16
4,84.211,-12.981,0.466,0.205,10
5,65.439,-16.678,0.42,0.0727,16
6,81.908,-28.261,0.234,0.0189,15
7,61.90600000000001,-13.655,0.25,0.19,15
8,90.373,-16.397000000000002,0.223,0.165,11
9,137.638,-15.794,0.564,0.35200000000000004,15
10,141.793,-12.692,0.541,0.644,15
11,105.287,-9.999,0.636,0.365,15
12,79.2,-15.65,0.342,0.312,11
13,93.406,-8.64,0.35200000000000004,0.326,11
14,123.877,-10.607,0.66,0.4920000000000001,11
15,148.678,-16.941,0.403,0.242,13
16,115.17,-14.817,0.34700000000000003,0.287,14
17,143.315,-5.316,0.77,0.7070000000000001,16
18,131.41899999999998,-4.678,0.596,0.7509999999999999,15
19,74.085,-10.779000000000002,0.507,0.433,15
20,85.66,-10.662,0.564,0.364,16
21,109.091,-14.338,0.61,0.161,16
22,140.858,-10.898,0.324,0.426,14
23,82.4,-16.078,0.315,0.184,13
24,135.945,-9.49,0.605,0.816,18
25,96.97,-4.48,0.682,0.753,10
26,81.11399999999998,-11.972,0.32299999999999995,0.441,15
27,134.97299999999998,-18.643,0.447,0.308,14
28,107.05,-14.642,0.6990000000000001,0.183,15
29,117.755,-18.771,0.6579999999999999,0.239,19
30,79.798,-6.515,0.573,0.515,12
31,196.502,-20.231,0.433,0.226,16
32,153.696,-15.116,0.34700000000000003,0.253,14
33,104.519,-14.373,0.477,0.294,16
34,94.32,-19.519,0.608,0.183,12
35,171.467,-9.651,0.598,0.767,12
36,98.716,-8.297,0.8,0.535,11
37,143.016,-12.23,0.479,0.23,14
38,114.967,-28.507,0.503,0.00686,13
39,119.152,-10.736,0.792,0.65,11
40,104.502,-9.058,0.648,0.443,16
41,113.618,-9.546,0.379,0.293,10
42,110.606,-15.063,0.376,0.304,11
43,84.574,-18.661,0.15,0.165,18
44,134.048,-10.798,0.5539999999999999,0.46,16
45,116.137,-23.914,0.191,0.0507,11
46,80.032,-11.841,0.13,0.17600000000000002,15
47,68.257,-19.242,0.489,0.182,12
48,97.057,-23.486,0.568,0.189,14
49,80.11,-17.4,0.442,0.302,14
50,114.152,-11.441,0.54,0.511,10
51,118.253,-10.038,0.444,0.433,16
52,144.332,-9.448,0.623,0.539,18
53,143.946,-25.364,0.134,0.0505,10
54,126.443,-13.213,0.506,0.5710000000000001,15
55,61.79600000000001,-20.949,0.74,0.087,15
56,99.012,-15.96,0.659,0.236,13
57,108.805,-17.594,0.425,0.162,10
58,95.003,-16.451,0.23,0.14800000000000002,14
59,176.507,-6.312,0.677,0.7090000000000001,11
60,72.773,-16.99,0.628,0.14,14
61,140.885,-11.973,0.622,0.241,14
62,104.105,-25.79,0.368,0.0324,17
63,88.64399999999998,-14.921,0.483,0.27,14
64,151.286,-7.382999999999999,0.6509999999999999,0.759,15
65,97.274,-17.551,0.715,0.205,13
66,105.794,-29.899,0.519,0.00905,12
67,86.384,-14.488,0.527,0.405,17
68,123.871,-6.874,0.551,0.428,15
69,120.24,-8.074,0.7120000000000001,0.417,10
70,207.42,-11.444,0.218,0.327,14
71,126.263,-16.12,0.268,0.272,10
72,115.41,-18.55,0.502,0.111,18
73,118.646,-26.247,0.438,0.0846,16
74,125.011,-15.852,0.297,0.145,14
75,105.249,-24.837,0.42,0.146,16
76,73.018,-24.856,0.145,0.119,12
77,167.722,-14.025,0.241,0.175,18
78,103.649,-9.033,0.8740000000000001,0.49,13
79,147.102,-16.465999999999998,0.5589999999999999,0.275,14
80,118.247,-33.123000000000005,0.211,0.007559999999999998,12
81,78.191,-18.104,0.477,0.361,14
82,140.665,-8.338,0.799,0.5529999999999999,17
83,122.597,-11.433,0.648,0.211,11
84,110.245,-13.140999999999998,0.7509999999999999,0.603,15
85,116.021,-12.27,0.6579999999999999,0.383,16
86,74.385,-18.012,0.512,0.0511,14
87,88.039,-14.624,0.409,0.165,15
88,97.85,-15.4,0.429,0.154,16
89,105.586,-7.263,0.639,0.625,17
90,120.16,-18.45,0.5589999999999999,0.128,18
91,102.039,-17.359,0.282,0.16899999999999998,19
92,146.812,-13.89,0.6629999999999999,0.547,14
93,82.54700000000003,-12.905,0.404,0.484,12
94,119.161,-19.505,0.633,0.331,18
95,103.012,-28.86,0.387,0.0341,19
96,89.959,-15.583,0.611,0.309,12
97,185.901,-8.017000000000001,0.52,0.753,17
98,174.549,-12.578,0.456,0.29600000000000004,18
99,114.441,-15.554,0.307,0.227,17
100,107.18,-12.336,0.524,0.419,16
101,138.086,-8.746,0.407,0.468,12
102,69.533,-34.582,0.418,0.006370000000000001,17
103,116.945,-15.347,0.467,0.197,18
104,175.53,-10.366,0.523,0.205,12
105,139.566,-18.576,0.5710000000000001,0.0544,16
106,181.953,-14.102,0.459,0.16699999999999998,18
107,126.733,-9.905,0.563,0.509,12
108,110.838,-3.263,0.6,0.7509999999999999,15
109,58.035,-15.715,0.35200000000000004,0.214,12
110,100.694,-11.12,0.359,0.382,12
111,110.915,-14.515,0.271,0.175,17
112,91.058,-11.643,0.76,0.5670000000000001,13
113,108.685,-12.343,0.5529999999999999,0.358,13
114,103.128,-13.398,0.354,0.247,17
115,182.831,-12.871,0.39,0.364,14
116,100.95,-20.261,0.701,0.124,15
117,95.763,-20.562,0.5670000000000001,0.191,13
118,83.941,-17.739,0.202,0.111,15
119,93.817,-8.301,0.7559999999999999,0.565,12
120,120.278,-7.18,0.759,0.451,11
121,176.463,-6.973,0.728,0.498,11
122,66.624,-13.009,0.214,0.224,15
123,114.709,-14.038,0.417,0.212,11
124,87.836,-6.511,0.698,0.748,17
125,124.586,-12.792,0.7140000000000001,0.191,15
126,72.96600000000002,-21.453000000000007,0.563,0.179,17
127,120.278,-6.815,0.71,0.723,17
128,164.78,-9.085,0.632,0.468,14
129,82.521,-15.388,0.191,0.16399999999999998,14
130,175.313,-11.487,0.302,0.536,18
131,63.534,-7.85,0.394,0.618,18
132,186.48,-13.41,0.171,0.255,17
133,85.40899999999998,-13.624,0.512,0.34600000000000003,13
134,106.538,-9.796,0.395,0.314,18
135,188.885,-13.438,0.444,0.312,14
136,119.138,-7.608,0.5589999999999999,0.395,14
137,150.77200000000005,-10.761,0.579,0.423,14
138,72.211,-15.374,0.239,0.118,15
139,111.482,-14.829,0.303,0.14400000000000002,14
140,108.924,-9.869,0.711,0.419,14
141,131.789,-12.643,0.441,0.29,13
142,133.559,-29.433000000000003,0.19,0.0281,18
143,114.594,-12.706,0.613,0.404,15
144,114.654,-8.174,0.542,0.37,16
145,163.60399999999996,-16.671,0.477,0.198,12
146,75.152,-8.712,0.603,0.606,14
147,104.0,-11.148,0.491,0.369,14
148,94.903,-11.541,0.337,0.32,17
149,97.578,-10.727,0.637,0.531,16
150,70.46600000000002,-13.623,0.682,0.424,18
151,77.915,-5.692,0.477,0.636,13
152,93.938,-13.947,0.568,0.436,17
153,53.493,-12.151,0.5770000000000001,0.187,18
154,120.465,-10.532,0.465,0.415,13
155,107.974,-17.464000000000002,0.493,0.28800000000000003,12
156,110.88,-12.905,0.459,0.247,15
157,96.443,-11.594,0.556,0.395,14
158,80.875,-9.291,0.455,0.55,17
159,79.281,-17.689,0.262,0.119,18
160,113.776,-10.066,0.392,0.473,12
161,112.3,-11.413,0.7709999999999999,0.741,14
162,136.30100000000002,-10.442,0.5720000000000001,0.608,11
163,90.902,-13.86,0.204,0.198,14
164,92.951,-16.695,0.361,0.174,18
165,71.953,-16.651,0.343,0.217,16
166,108.37,-9.066,0.462,0.399,14
167,124.304,-12.41,0.8759999999999999,0.209,13
168,80.957,-8.652000000000001,0.7090000000000001,0.695,19
169,97.079,-13.075,0.669,0.172,12
170,145.59,-19.112,0.317,0.145,15
171,110.053,-21.493,0.428,0.0517,18
172,107.601,-10.146,0.5820000000000001,0.654,18
173,102.675,-10.236,0.272,0.438,18
174,127.071,-6.674,0.7390000000000001,0.81,18
175,159.892,-10.77,0.589,0.6759999999999999,17
176,91.105,-14.188,0.532,0.868,16
177,109.414,-15.909,0.374,0.125,19
178,201.435,-9.079,0.27,0.319,18
179,126.349,-7.1629999999999985,0.73,0.693,18
180,72.457,-8.791,0.249,0.5379999999999999,17
181,181.32,-14.041,0.399,0.342,16
182,142.399,-7.497999999999997,0.46,0.546,18
183,116.792,-6.642,0.595,0.662,18
184,98.373,-13.197,0.273,0.281,16
185,88.854,-8.746,0.465,0.804,15
186,68.225,-18.991,0.583,0.142,16
187,174.301,-21.265,0.081,0.0909,17
188,144.954,-11.579,0.691,0.498,18
189,111.169,-12.635,0.355,0.298,16
190,70.08,-10.328,0.55,0.392,17
191,151.84799999999996,-8.46,0.565,0.765,18
192,124.191,-7.37,0.468,0.7559999999999999,17
193,96.262,-6.73,0.544,0.35200000000000004,16
194,97.957,-17.937,0.41,0.139,17
195,62.308,-7.457999999999997,0.672,0.677,19
196,73.331,-19.83,0.155,0.14300000000000002,16
197,172.399,-20.784,0.159,0.0991,16
198,112.554,-13.957,0.425,0.499,19
199,108.292,-21.56900000000001,0.518,0.063,16
200,97.054,-14.106,0.536,0.404,19
201,88.98200000000001,-16.294,0.393,0.236,15
202,83.02,-12.561,0.14400000000000002,0.168,17
203,81.98700000000002,-18.14,0.17,0.118,19
204,120.89,-14.605,0.693,0.241,19
205,204.28,-14.27,0.415,0.256,19
206,175.05200000000005,-11.086,0.411,0.946,17
207,91.055,-11.448,0.305,0.253,17
208,157.46,-11.247,0.35700000000000004,0.768,18
209,61.38399999999999,-12.366,0.605,0.89,15
210,90.66,-19.121,0.461,0.0916,19
211,82.927,-13.808,0.532,0.38,18
212,152.614,-9.374,0.462,0.848,18
213,61.62300000000001,-14.083,0.34700000000000003,0.236,16
214,163.441,-12.402,0.468,0.835,17
215,123.174,-10.890999999999998,0.713,0.546,15
216,128.963,-7.227,0.59,0.633,17
217,93.24,-11.068,0.508,0.289,19
218,98.161,-16.669,0.386,0.252,19
219,101.888,-13.229,0.623,0.334,17
220,158.60399999999996,-11.970999999999998,0.672,0.736,19
221,98.049,-9.674,0.71,0.585,18
222,130.56799999999998,-6.079,0.546,0.872,17
223,147.282,-14.103,0.443,0.53,16
224,164.718,-15.985,0.384,0.5720000000000001,16
225,97.618,-15.880999999999998,0.58,0.211,19
226,109.465,-8.746,0.5589999999999999,0.5870000000000001,17
227,116.276,-12.434,0.711,0.341,18
228,83.93,-17.83,0.262,0.196,15
229,113.93,-6.244,0.616,0.6459999999999999,15
230,86.44200000000002,-12.833,0.373,0.28,19
231,171.763,-5.335,0.223,0.8079999999999999,17
232,107.684,-13.764,0.508,0.67,16
233,126.038,-7.181,0.767,0.8440000000000001,17
234,124.813,-11.255999999999998,0.536,0.5489999999999999,16
235,139.611,-14.255,0.6679999999999999,0.227,17
236,120.314,-13.343,0.601,0.458,16
237,97.11,-13.9,0.619,0.335,15
238,110.669,-9.78,0.5710000000000001,0.203,18
239,85.90899999999998,-19.717,0.35600000000000004,0.0983,19
240,92.293,-12.191,0.465,0.439,19
241,109.223,-15.695,0.7020000000000001,0.272,19
242,149.984,-12.495,0.555,0.3,19
243,104.759,-4.188,0.45,0.745,19
244,88.277,-14.177,0.6829999999999999,0.387,17
245,140.855,-10.345999999999998,0.5,0.632,17
246,106.312,-7.9220000000000015,0.6459999999999999,0.634,19
247,124.452,-7.723,0.32,0.787,18
248,78.185,-8.402999999999999,0.256,0.5820000000000001,18
249,128.231,-14.993,0.517,0.535,18
250,81.042,-16.36,0.337,0.365,18
251,83.29299999999998,-6.979,0.5539999999999999,0.375,19
252,122.18,-15.468,0.391,0.468,18
253,90.674,-10.319,0.25,0.339,19
254,95.941,-5.3610000000000015,0.519,0.838,17
255,111.122,-7.818,0.421,0.83,18
256,131.135,-9.428,0.588,0.529,19
