,tempo,loudness,danceability,energy,popularity
0,109.284,-18.366,0.4970000000000001,0.263,15
1,97.732,-16.417,0.6679999999999999,0.453,13
2,166.733,-20.325,0.275,0.11,13
3,58.813,-15.557,0.337,0.13,16
4,84.211,-12.981,0.466,0.205,10
5,65.439,-16.678,0.42,0.0727,16
6,81.908,-28.261,0.234,0.0189,15
7,61.90600000000001,-13.655,0.25,0.19,15
8,90.373,-16.397000000000002,0.223,0.165,11
9,137.638,-15.794,0.564,0.35200000000000004,15
10,141.793,-12.692,0.541,0.644,15
11,105.287,-9.999,0.636,0.365,15
12,79.2,-15.65,0.342,0.312,11
13,93.406,-8.64,0.35200000000000004,0.326,11
14,123.877,-10.607,0.66,0.4920000000000001,11
15,148.678,-16.941,0.403,0.242,13
16,115.17,-14.817,0.34700000000000003,0.287,14
17,143.315,-5.316,0.77,0.7070000000000001,16
18,131.41899999999998,-4.678,0.596,0.7509999999999999,15
19,74.085,-10.779000000000002,0.507,0.433,15
20,85.66,-10.662,0.564,0.364,16
21,109.091,-14.338,0.61,0.161,16
22,140.858,-10.898,0.324,0.426,14
23,82.4,-16.078,0.315,0.184,13
24,135.945,-9.49,0.605,0.816,18
25,128.088,-14.328,0.693,0.364,24
26,96.97,-4.48,0.682,0.753,10
27,81.11399999999998,-11.972,0.32299999999999995,0.441,15
28,134.97299999999998,-18.643,0.447,0.308,14
29,107.05,-14.642,0.6990000000000001,0.183,15
30,117.755,-18.771,0.6579999999999999,0.239,19
31,79.798,-6.515,0.573,0.515,12
32,196.502,-20.231,0.433,0.226,16
33,153.696,-15.116,0.34700000000000003,0.253,14
34,104.519,-14.373,0.477,0.294,16
35,94.32,-19.519,0.608,0.183,12
36,171.467,-9.651,0.598,0.767,12
37,98.716,-8.297,0.8,0.535,11
38,143.016,-12.23,0.479,0.23,14
39,114.967,-28.507,0.503,0.00686,13
40,119.152,-10.736,0.792,0.65,11
41,104.502,-9.058,0.648,0.443,16
42,113.618,-9.546,0.379,0.293,10
43,110.606,-15.063,0.376,0.304,11
44,84.574,-18.661,0.15,0.165,18
45,134.048,-10.798,0.5539999999999999,0.46,16
46,116.137,-23.914,0.191,0.0507,11
47,80.032,-11.841,0.13,0.17600000000000002,15
48,68.257,-19.242,0.489,0.182,12
49,97.057,-23.486,0.568,0.189,14
50,80.11,-17.4,0.442,0.302,14
51,114.152,-11.441,0.54,0.511,10
52,118.253,-10.038,0.444,0.433,16
53,144.332,-9.448,0.623,0.539,18
54,143.946,-25.364,0.134,0.0505,10
55,108.421,-9.726,0.472,0.407,22
56,126.443,-13.213,0.506,0.5710000000000001,15
57,61.79600000000001,-20.949,0.74,0.087,15
58,99.012,-15.96,0.659,0.236,13
59,108.805,-17.594,0.425,0.162,10
60,95.003,-16.451,0.23,0.14800000000000002,14
61,176.507,-6.312,0.677,0.7090000000000001,11
62,72.773,-16.99,0.628,0.14,14
63,140.885,-11.973,0.622,0.241,14
64,104.105,-25.79,0.368,0.0324,17
65,139.43200000000002,-13.929,0.7290000000000001,0.49,22
66,88.64399999999998,-14.921,0.483,0.27,14
67,95.225,-10.856,0.48,0.6890000000000001,20
68,151.286,-7.382999999999999,0.6509999999999999,0.759,15
69,97.274,-17.551,0.715,0.205,13
70,105.794,-29.899,0.519,0.00905,12
71,86.384,-14.488,0.527,0.405,17
72,123.871,-6.874,0.551,0.428,15
73,120.24,-8.074,0.7120000000000001,0.417,10
74,207.42,-11.444,0.218,0.327,14
75,87.809,-21.45,0.25,0.102,20
76,126.263,-16.12,0.268,0.272,10
77,115.41,-18.55,0.502,0.111,18
78,118.646,-26.247,0.438,0.0846,16
79,125.011,-15.852,0.297,0.145,14
80,105.249,-24.837,0.42,0.146,16
81,73.018,-24.856,0.145,0.119,12
82,167.722,-14.025,0.241,0.175,18
83,103.649,-9.033,0.8740000000000001,0.49,13
84,147.102,-16.465999999999998,0.5589999999999999,0.275,14
85,118.247,-33.123000000000005,0.211,0.007559999999999998,12
86,78.191,-18.104,0.477,0.361,14
87,140.665,-8.338,0.799,0.5529999999999999,17
88,139.989,-12.014,0.378,0.721,23
89,122.597,-11.433,0.648,0.211,11
90,110.245,-13.140999999999998,0.7509999999999999,0.603,15
91,98.929,-12.593,0.66,0.264,21
92,116.021,-12.27,0.6579999999999999,0.383,16
93,74.385,-18.012,0.512,0.0511,14
94,88.039,-14.624,0.409,0.165,15
95,97.85,-15.4,0.429,0.154,16
96,105.586,-7.263,0.639,0.625,17
97,120.16,-18.45,0.5589999999999999,0.128,18
98,102.039,-17.359,0.282,0.16899999999999998,19
99,184.649,-7.11,0.477,0.84,21
100,146.812,-13.89,0.6629999999999999,0.547,14
101,82.54700000000003,-12.905,0.404,0.484,12
102,119.161,-19.505,0.633,0.331,18
103,109.659,-10.927,0.534,0.344,21
104,103.012,-28.86,0.387,0.0341,19
105,89.959,-15.583,0.611,0.309,12
106,124.923,-17.111,0.6729999999999999,0.13,21
107,185.901,-8.017000000000001,0.52,0.753,17
108,174.549,-12.578,0.456,0.29600000000000004,18
109,114.441,-15.554,0.307,0.227,17
110,107.18,-12.336,0.524,0.419,16
111,138.086,-8.746,0.407,0.468,12
112,69.533,-34.582,0.418,0.006370000000000001,17
113,116.945,-15.347,0.467,0.197,18
114,126.484,-11.048,0.701,0.409,21
115,82.811,-8.318,0.595,0.653,21
116,175.53,-10.366,0.523,0.205,12
117,139.566,-18.576,0.5710000000000001,0.0544,16
118,115.325,-8.536,0.5770000000000001,0.364,22
119,181.953,-14.102,0.459,0.16699999999999998,18
120,126.733,-9.905,0.563,0.509,12
121,110.838,-3.263,0.6,0.7509999999999999,15
122,58.035,-15.715,0.35200000000000004,0.214,12
123,100.694,-11.12,0.359,0.382,12
124,110.915,-14.515,0.271,0.175,17
125,91.058,-11.643,0.76,0.5670000000000001,13
126,108.685,-12.343,0.5529999999999999,0.358,13
127,103.128,-13.398,0.354,0.247,17
128,182.831,-12.871,0.39,0.364,14
129,100.95,-20.261,0.701,0.124,15
130,95.763,-20.562,0.5670000000000001,0.191,13
131,83.941,-17.739,0.202,0.111,15
132,93.817,-8.301,0.7559999999999999,0.565,12
133,120.278,-7.18,0.759,0.451,11
134,176.463,-6.973,0.728,0.498,11
135,66.624,-13.009,0.214,0.224,15
136,114.709,-14.038,0.417,0.212,11
137,87.836,-6.511,0.698,0.748,17
138,124.586,-12.792,0.7140000000000001,0.191,15
139,72.96600000000002,-21.453000000000007,0.563,0.179,17
140,97.031,-10.01,0.638,0.938,20
141,120.278,-6.815,0.71,0.723,17
142,164.78,-9.085,0.632,0.468,14
143,186.698,-13.548,0.16,0.248,20
144,82.521,-15.388,0.191,0.16399999999999998,14
145,175.313,-11.487,0.302,0.536,18
146,63.534,-7.85,0.394,0.618,18
147,186.48,-13.41,0.171,0.255,17
148,85.40899999999998,-13.624,0.512,0.34600000000000003,13
149,106.538,-9.796,0.395,0.314,18
150,188.885,-13.438,0.444,0.312,14
151,119.138,-7.608,0.5589999999999999,0.395,14
152,150.77200000000005,-10.761,0.579,0.423,14
153,72.211,-15.374,0.239,0.118,15
154,111.482,-14.829,0.303,0.14400000000000002,14
155,119.446,-3.82,0.5489999999999999,0.918,20
156,108.924,-9.869,0.711,0.419,14
157,131.789,-12.643,0.441,0.29,13
158,91.539,-9.975,0.485,0.8029999999999999,21
159,133.559,-29.433000000000003,0.19,0.0281,18
160,165.59900000000005,-10.684,0.491,0.7659999999999999,25
161,114.594,-12.706,0.613,0.404,15
162,114.654,-8.174,0.542,0.37,16
163,163.60399999999996,-16.671,0.477,0.198,12
164,75.152,-8.712,0.603,0.606,14
165,104.0,-11.148,0.491,0.369,14
166,94.903,-11.541,0.337,0.32,17
167,97.578,-10.727,0.637,0.531,16
168,70.46600000000002,-13.623,0.682,0.424,18
169,77.915,-5.692,0.477,0.636,13
170,92.529,-16.617,0.569,0.563,22
171,93.938,-13.947,0.568,0.436,17
172,53.493,-12.151,0.5770000000000001,0.187,18
173,120.465,-10.532,0.465,0.415,13
174,107.974,-17.464000000000002,0.493,0.28800000000000003,12
175,113.853,-10.619000000000002,0.602,0.494,26
176,110.88,-12.905,0.459,0.247,15
177,185.227,-12.103,0.47,0.715,24
178,96.443,-11.594,0.556,0.395,14
179,80.875,-9.291,0.455,0.55,17
180,79.281,-17.689,0.262,0.119,18
181,114.52,-9.818,0.421,0.229,29
182,113.776,-10.066,0.392,0.473,12
183,112.3,-11.413,0.7709999999999999,0.741,14
184,136.30100000000002,-10.442,0.5720000000000001,0.608,11
185,90.902,-13.86,0.204,0.198,14
186,92.951,-16.695,0.361,0.174,18
187,71.953,-16.651,0.343,0.217,16
188,108.37,-9.066,0.462,0.399,14
189,145.261,-13.412,0.7759999999999999,0.157,20
190,124.304,-12.41,0.8759999999999999,0.209,13
191,80.957,-8.652000000000001,0.7090000000000001,0.695,19
192,97.079,-13.075,0.669,0.172,12
193,145.59,-19.112,0.317,0.145,15
194,110.053,-21.493,0.428,0.0517,18
195,107.601,-10.146,0.5820000000000001,0.654,18
196,128.458,-15.823,0.53,0.0552,22
197,126.749,-13.483,0.39,0.4370000000000001,22
198,77.46300000000002,-27.118,0.368,0.0192,25
199,103.269,-14.606,0.309,0.466,22
200,90.446,-13.555,0.589,0.314,20
201,121.805,-11.372,0.6659999999999999,0.363,20
202,102.675,-10.236,0.272,0.438,18
203,128.904,-14.597,0.5670000000000001,0.36,20
204,95.348,-28.349,0.361,0.0174,25
205,70.417,-8.337,0.468,0.531,25
206,113.172,-11.284,0.384,0.491,21
207,127.071,-6.674,0.7390000000000001,0.81,18
208,159.892,-10.77,0.589,0.6759999999999999,17
209,123.318,-7.508999999999999,0.83,0.42,22
210,91.105,-14.188,0.532,0.868,16
211,107.804,-28.831,0.3670000000000001,0.0252,25
212,109.414,-15.909,0.374,0.125,19
213,201.435,-9.079,0.27,0.319,18
214,126.349,-7.1629999999999985,0.73,0.693,18
215,92.442,-15.005,0.7090000000000001,0.374,21
216,124.816,-13.469,0.55,0.6709999999999999,21
217,72.457,-8.791,0.249,0.5379999999999999,17
218,181.32,-14.041,0.399,0.342,16
219,68.31,-19.062,0.546,0.0446,25
220,121.771,-9.553,0.605,0.434,22
221,86.391,-21.501,0.405,0.277,25
222,142.399,-7.497999999999997,0.46,0.546,18
223,77.934,-7.4620000000000015,0.418,0.831,22
224,116.792,-6.642,0.595,0.662,18
225,98.373,-13.197,0.273,0.281,16
226,88.854,-8.746,0.465,0.804,15
227,68.225,-18.991,0.583,0.142,16
228,100.139,-12.623,0.42,0.211,22
229,174.301,-21.265,0.081,0.0909,17
230,139.46200000000002,-14.069,0.495,0.344,21
231,122.14,-8.76,0.5720000000000001,0.65,26
232,144.954,-11.579,0.691,0.498,18
233,111.169,-12.635,0.355,0.298,16
234,70.08,-10.328,0.55,0.392,17
235,185.171,-17.507,0.359,0.449,21
236,151.84799999999996,-8.46,0.565,0.765,18
237,85.93299999999998,-12.050999999999998,0.369,0.339,20
238,105.731,-14.821,0.642,0.383,21
239,124.191,-7.37,0.468,0.7559999999999999,17
240,154.773,-11.273,0.445,0.657,20
241,96.262,-6.73,0.544,0.35200000000000004,16
242,135.877,-7.001,0.366,0.789,21
243,97.957,-17.937,0.41,0.139,17
244,88.14299999999999,-13.133,0.413,0.28600000000000003,21
245,95.154,-19.991,0.5820000000000001,0.433,20
246,87.32700000000001,-23.083,0.382,0.0947,22
247,62.308,-7.457999999999997,0.672,0.677,19
248,150.629,-13.216,0.456,0.344,22
249,73.331,-19.83,0.155,0.14300000000000002,16
250,103.425,-9.834,0.33,0.166,23
251,119.312,-16.15,0.6809999999999999,0.203,20
252,106.364,-18.202,0.375,0.119,21
253,172.399,-20.784,0.159,0.0991,16
254,112.554,-13.957,0.425,0.499,19
255,108.292,-21.56900000000001,0.518,0.063,16
256,97.054,-14.106,0.536,0.404,19
257,73.105,-10.371,0.57,0.5429999999999999,23
